Company,Ticker
Endurance Technologies Ltd.,ENDURANCE.NS
Engineers India Ltd.,ENGINERSIN.NS
Equitas Holdings Ltd.,EQUITAS.NS
Eris Lifesciences Ltd.,ERIS.NS
Escorts Ltd.,ESCORTS.NS
Essel Propack Ltd.,ESSELPACK.NS
Exide Industries Ltd.,EXIDEIND.NS
FDC Ltd.,FDC.NS
Federal Bank Ltd.,FEDERALBNK.NS
Fine Organic Industries Ltd.,FINEORG.NS
Finolex Cables Ltd.,FINCABLES.NS
Finolex Industries Ltd.,FINPIPE.NS
Firstsource Solutions Ltd.,FSL.NS
Fortis Healthcare Ltd.,FORTIS.NS
Future Consumer Ltd.,FCONSUMER.NS
Future Lifestyle Fashions Ltd.,FLFL.NS
Future Retail Ltd.,FRETAIL.NS
GAIL (India) Ltd.,GAIL.NS
GE Power India Ltd.,GEPIL.NS
GE T&D India Ltd.,GET&D.NS
GHCL Ltd.,GHCL.NS
GMR Infrastructure Ltd.,GMRINFRA.NS
Galaxy Surfactants Ltd.,GALAXYSURF.NS
Gateway Distriparks Ltd.,GDL.NS
Gayatri Projects Ltd.,GAYAPROJ.NS
General Insurance Corporation of India,GICRE.NS
Gillette India Ltd.,GILLETTE.NS
GlaxoSmithkline Consumer Healthcare Ltd.,GSKCONS.NS
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO.NS
Glenmark Pharmaceuticals Ltd.,GLENMARK.NS
Godfrey Phillips India Ltd.,GODFRYPHLP.NS
Godrej Agrovet Ltd.,GODREJAGRO.NS
Godrej Consumer Products Ltd.,GODREJCP.NS
Godrej Industries Ltd.,GODREJIND.NS
Godrej Properties Ltd.,GODREJPROP.NS
Granules India Ltd.,GRANULES.NS
Graphite India Ltd.,GRAPHITE.NS
Grasim Industries Ltd.,GRASIM.NS
Great Eastern Shipping Co. Ltd.,GESHIP.NS
Greaves Cotton Ltd.,GREAVESCOT.NS
Grindwell Norton Ltd.,GRINDWELL.NS
Gruh Finance Ltd.,GRUH.NS
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI.NS
Gujarat Fluorochemicals Ltd.,GUJFLUORO.NS
Gujarat Gas Ltd.,GUJGASLTD.NS
Gujarat Mineral Development Corporation Ltd.,GMDCLTD.NS
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC.NS
Gujarat Pipavav Port Ltd.,GPPL.NS
Gujarat State Fertilizers & Chemicals Ltd.,GSFC.NS
Gujarat State Petronet Ltd.,GSPL.NS
Gulf Oil Lubricants India Ltd.,GULFOILLUB.NS
H.E.G. Ltd.,HEG.NS
HCL Technologies Ltd.,HCLTECH.NS
HDFC Asset Management Company Ltd.,HDFCAMC.NS
HDFC Bank Ltd.,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS
Hathway Cable & Datacom Ltd.,HATHWAY.NS
Hatsun Agro Product Ltd.,HATSUN.NS
Havells India Ltd.,HAVELLS.NS
HeidelbergCement India Ltd.,HEIDELBERG.NS
